component	file	line	marker	text
patient	patient-app/app/(tabs)/diagnostics.tsx	32	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(tabs)/diagnostics.tsx	56	contract	 apiFetch('/labs/packages').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	57	contract	 apiFetch('/labs/services').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	58	contract	 apiFetch('/radiology/services').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	59	contract	 apiFetch('/providers?type=lab').catch(() => ({ data: [] }))
patient	patient-app/app/(tabs)/diagnostics.tsx	93	contract	 onPress={() => (router.push as any)('/diagnostics/orders')}
patient	patient-app/app/(tabs)/diagnostics.tsx	115	contract	 <TouchableOpacity onPress={() => setSearchQuery('')} style={{ marginHorizontal: 8 }}>
patient	patient-app/app/(tabs)/diagnostics.tsx	119	contract	 <TouchableOpacity onPress={() => setShowFilters(true)}>
patient	patient-app/app/(tabs)/diagnostics.tsx	128	contract	 onPress={() => setMainTab('labs')}
patient	patient-app/app/(tabs)/diagnostics.tsx	136	contract	 onPress={() => setMainTab('radiology')}
patient	patient-app/app/(tabs)/diagnostics.tsx	147	contract	 onPress={() => setServiceType('home')}
patient	patient-app/app/(tabs)/diagnostics.tsx	155	contract	 onPress={() => setServiceType('clinic')}
patient	patient-app/app/(tabs)/diagnostics.tsx	175	contract	 <TouchableOpacity style={styles.insuranceCard} onPress={() => (router.push as any)('/diagnostics/insurance-upload')}>
patient	patient-app/app/(tabs)/diagnostics.tsx	194	contract	 <TouchableOpacity onPress={() => (router.push as any)('/diagnostics/packages')}>
patient	patient-app/app/(tabs)/diagnostics.tsx	202	contract	 <TouchableOpacity style={[styles.pkgCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/package-detail?id=${p
patient	patient-app/app/(tabs)/diagnostics.tsx	233	contract	 <TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${tes
patient	patient-app/app/(tabs)/diagnostics.tsx	253	contract	 onPress={() => addItem({ id: test.id, name: test.name, price: typeof test.price === 'string' ? parseInt(test.price) : test.price, kind: 'lab' })}
patient	patient-app/app/(tabs)/diagnostics.tsx	274	contract	 <TouchableOpacity style={[styles.labCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/lab/${lab.id}`)}>
patient	patient-app/app/(tabs)/diagnostics.tsx	289	contract	 <TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${tes
patient	patient-app/app/(tabs)/diagnostics.tsx	309	contract	 onPress={() => addItem({ id: test.id, name: test.name, price: parseInt(test.price), kind: 'lab' })}
patient	patient-app/app/(tabs)/diagnostics.tsx	339	contract	 <TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${rad
patient	patient-app/app/(tabs)/diagnostics.tsx	352	contract	 onPress={() => (router.push as any)({ pathname: '/diagnostics/checkout', params: { serviceType, labName: rad.name, total: '٢٥٠', isRadiology: 'true', radiologyType: rad.name } 
patient	patient-app/app/(tabs)/diagnostics.tsx	372	contract	 onPress={() => (router.push as any)('/diagnostics/cart')}
patient	patient-app/app/(tabs)/diagnostics.tsx	388	contract	 <TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)' }} onPress={() => setShowFilters(false)} />
patient	patient-app/app/(tabs)/diagnostics.tsx	406	contract	 onPress={() => { setActiveFilter(f.id); setShowFilters(false); }} style={[styles.filterOptionRow, { borderColor: activeFilter === f.id ? colors.primary : colors.border, background
patient	patient-app/app/(tabs)/health.tsx	30	contract	import { apiFetch } from "../../src/utils/api";
patient	patient-app/app/(tabs)/health.tsx	97	contract	 apiFetch("/health/vitals/summary").catch(() => null),
patient	patient-app/app/(tabs)/health.tsx	98	contract	 apiFetch("/users/me/profile").catch(() => null),
patient	patient-app/app/(tabs)/health.tsx	99	contract	 apiFetch('/home/upcoming-appointment').catch(() => null)
