file	line	method	endpoint	normalized	classification	backend_candidates
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	122	GET	/home/offers	/home/offers	PASS_MATCHED	GET /home/offers (backend/src/modules/home/home.controller.ts:10)
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	59	GET	/labs/packages	/labs/packages	PASS_MATCHED	GET /labs/packages (backend/src/modules/labs/labs.controller.ts:29)
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	60	GET	/labs/services	/labs/services	PASS_MATCHED	GET /labs/services (backend/src/modules/labs/labs.controller.ts:9)
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	61	GET	/radiology/services	/radiology/services	PASS_MATCHED	GET /radiology/services (backend/src/modules/radiology/radiology.controller.ts:9)
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	62	GET	/providers?type=lab	/providers	PASS_MATCHED	GET /providers (backend/src/modules/providers/providers.controller.ts:20)
patient-app/nabd_plus/app/(tabs)/health.tsx	103	GET	/health/vitals/summary	/health/vitals/summary	PASS_MATCHED	GET /health/vitals/summary (backend/src/modules/health/health.controller.ts:25)
patient-app/nabd_plus/app/(tabs)/health.tsx	104	GET	/health/score	/health/score	PASS_MATCHED	GET /health/score (backend/src/modules/health/health.controller.ts:28)
patient-app/nabd_plus/app/(tabs)/health.tsx	105	GET	/home/upcoming-appointment	/home/upcoming-appointment	PASS_MATCHED	GET /home/upcoming-appointment (backend/src/modules/home/home.controller.ts:15)
patient-app/nabd_plus/app/(tabs)/health.tsx	113	GET	"/nutrition/daily-summary?date=${new Date().toISOString().split(""T"")[0]}"	/nutrition/daily-summary	PASS_MATCHED	GET /nutrition/daily-summary (backend/src/modules/nutrition/nutrition.controller.ts:53)
patient-app/nabd_plus/app/(tabs)/index.tsx	81	GET	/home/offers	/home/offers	PASS_MATCHED	GET /home/offers (backend/src/modules/home/home.controller.ts:10)
patient-app/nabd_plus/app/(tabs)/index.tsx	82	GET	/home/upcoming-appointment	/home/upcoming-appointment	PASS_MATCHED	GET /home/upcoming-appointment (backend/src/modules/home/home.controller.ts:15)
patient-app/nabd_plus/app/(tabs)/index.tsx	83	GET	/users/me/profile	/users/me/profile	PASS_MATCHED	GET /users/me/profile (backend/src/modules/users/users.controller.ts:11)
patient-app/nabd_plus/app/(tabs)/nursing.tsx	45	GET	/home-care/services	/home-care/services	PASS_MATCHED	GET /home-care/services (backend/src/modules/home-care-compat/home-care-compat.module.ts:33)
patient-app/nabd_plus/app/(tabs)/nursing.tsx	52	GET	/home-care/packages	/home-care/packages	UNMATCHED_API_REVIEW	
patient-app/nabd_plus/app/(tabs)/pharmacy.tsx	69	GET	/medicines/categories	/medicines/categories	PASS_MATCHED	GET /medicines/categories (backend/src/modules/medicines/medicines.controller.ts:63)|GET /medicines/:id (backend/src/modules/medicines/medicines.controller.ts:274)
patient-app/nabd_plus/app/_layout.tsx	60	POST	/auth/guest	/auth/guest	PASS_MATCHED	POST /auth/guest (backend/src/modules/auth/auth.controller.ts:85)
patient-app/nabd_plus/app/ai/monthly-report.tsx	37	GET	/care/appointments	/care/appointments	PASS_MATCHED	GET /care/appointments (backend/src/modules/care/appointments.controller.ts:19)
patient-app/nabd_plus/app/ai/monthly-report.tsx	38	GET	/health/vitals/summary	/health/vitals/summary	PASS_MATCHED	GET /health/vitals/summary (backend/src/modules/health/health.controller.ts:25)
patient-app/nabd_plus/app/ai/monthly-report.tsx	39	GET	/health/chronic-meds	/health/chronic-meds	PASS_MATCHED	GET /health/chronic-meds (backend/src/modules/health/health.controller.ts:103)
patient-app/nabd_plus/app/ai/monthly-report.tsx	40	GET	/health/trends	/health/trends	PASS_MATCHED	GET /health/trends (backend/src/modules/health/health.controller.ts:108)
patient-app/nabd_plus/app/ai/symptom-timeline.tsx	52	GET	/ai/triage/history	/ai/triage/history	PASS_MATCHED	GET /ai/triage/history (backend/src/modules/ai/ai.controller.ts:61)
patient-app/nabd_plus/app/articles/[slug].tsx	38	GET	/articles/${encodeURIComponent(String(slug))}	/articles/:id	PASS_MATCHED	GET /articles/:slug (backend/src/modules/articles/articles.module.ts:95)
patient-app/nabd_plus/app/articles/[slug].tsx	42	POST	/articles?category=${encodeURIComponent(res.category)}&limit=4	/articles	PASS_MATCHED	POST /articles (backend/src/modules/articles/articles.module.ts:106)
patient-app/nabd_plus/app/articles/[slug].tsx	46	POST	/articles/bookmarks/${encodeURIComponent(String(slug))}/status	/articles/bookmarks/:id/status	UNMATCHED_API_REVIEW	
patient-app/nabd_plus/app/articles/[slug].tsx	59	POST	/articles/bookmarks/${encodeURIComponent(String(slug))}/toggle	/articles/bookmarks/:id/toggle	UNMATCHED_API_REVIEW	
patient-app/nabd_plus/app/articles/bookmarks.tsx	33	GET	/articles/bookmarks/mine	/articles/bookmarks/mine	UNMATCHED_API_REVIEW	
