component	file	line	endpoints	classification	marker
patient	patient-app/app/(auth)/reset-password.tsx	72		UI_ACTION_REVIEW	<Button
patient	patient-app/app/(auth)/reset-password.tsx	76	/(auth	WIRED_CANDIDATE	"onPress={() => router.replace(""/(auth)/login"")}"
patient	patient-app/app/(auth)/reset-password.tsx	101		UI_ACTION_REVIEW	"<IconButton icon=""back"" onPress={() => router.back()} />"
patient	patient-app/app/(auth)/reset-password.tsx	131		UI_ACTION_REVIEW	<Button
patient	patient-app/app/(auth)/reset-password.tsx	136		UI_ACTION_REVIEW	onPress={handleReset}
patient	patient-app/app/(auth)/terms.tsx	36		UI_ACTION_REVIEW	onPress={() => router.back()}
patient	patient-app/app/(auth)/welcome.tsx	22		UI_ACTION_REVIEW	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/welcome.tsx	24		UI_ACTION_REVIEW	const { width } = Dimensions.get('window');
patient	patient-app/app/(auth)/welcome.tsx	32	/auth/guest	WIRED_CANDIDATE	const res = await apiFetch('/auth/guest', { method: 'POST', body: JSON.stringify({}) });
patient	patient-app/app/(auth)/welcome.tsx	35	/(tabs	WIRED_CANDIDATE	router.push('/(tabs)');
patient	patient-app/app/(auth)/welcome.tsx	48	/(tabs	WIRED_CANDIDATE	if (screen === 'sH') router.push('/(tabs)');
patient	patient-app/app/(auth)/welcome.tsx	49	/(auth	WIRED_CANDIDATE	else if (screen === 's86') router.push('/(auth)/register');
patient	patient-app/app/(auth)/welcome.tsx	50	/(auth	WIRED_CANDIDATE	else if (screen === 's85') router.push('/(auth)/login');
patient	patient-app/app/(auth)/welcome.tsx	104		UI_ACTION_REVIEW	onPress={toggleDark}
patient	patient-app/app/(auth)/welcome.tsx	112		UI_ACTION_REVIEW	onPress={() => setLangModalVisible(true)}
patient	patient-app/app/(auth)/welcome.tsx	122		UI_ACTION_REVIEW	<TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)', justifyContent: 'center', alignItems: 'center' }} activeOpacity={1} onPress={() => setLangModalVisible(fals
patient	patient-app/app/(auth)/welcome.tsx	127		UI_ACTION_REVIEW	style={{ paddingVertical: 12, paddingHorizontal: 16, flexDirection: isRTL ? 'row-reverse' : 'row', justifyContent: 'space-between', alignItems: 'center', borderRadius: 8, backgrou
patient	patient-app/app/(auth)/welcome.tsx	152		UI_ACTION_REVIEW	onPress={handleGuestLogin}
patient	patient-app/app/(auth)/welcome.tsx	160		UI_ACTION_REVIEW	onPress={() => go('s86')}
patient	patient-app/app/(auth)/welcome.tsx	168		UI_ACTION_REVIEW	onPress={() => go('s85')}
patient	patient-app/app/(auth)/welcome.tsx	185	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	191	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	197	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	202	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(onboarding)/index.tsx	18		UI_ACTION_REVIEW	const { width, height } = Dimensions.get('window');
patient	patient-app/app/(onboarding)/index.tsx	87	/(onboarding	WIRED_CANDIDATE	router.replace('/(onboarding)/language');
