component	file	line	raw	normalized	review_class
patient	patient-app/app/diagnostics/order/[id].tsx	69	/report.pdf	/report.pdf	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/results-history.tsx	72	/reports/view-report	/reports/view-report	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/sample-tracking.tsx	93	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/diagnostics/sample-tracking.tsx	155	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/drug-scanner/index.tsx	35	/health/medications	/health/medications	API_CANDIDATE_REVIEW
patient	patient-app/app/drug-scanner/index.tsx	47	/ai/drug-interactions	/ai/drug-interactions	API_CANDIDATE_REVIEW
patient	patient-app/app/drug-scanner/index.tsx	199	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/emergency/sos-active.tsx	113	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/family/chat.tsx	35	/family/chat/messages	/family/chat/messages	API_CANDIDATE_REVIEW
patient	patient-app/app/family/chat.tsx	64	/reports/view-report	/reports/view-report	API_CANDIDATE_REVIEW
patient	patient-app/app/family/chat.tsx	81	/family/voice-call	/family/voice-call	API_CANDIDATE_REVIEW
patient	patient-app/app/family/chat.tsx	82	/consultations/video-call	/consultations/video-call	API_CANDIDATE_REVIEW
patient	patient-app/app/family/chat.tsx	99	/reports/hub	/reports/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/family/hub.tsx	122	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/family/hub.tsx	209	/family/chat	/family/chat	API_CANDIDATE_REVIEW
patient	patient-app/app/family/join.tsx	86	/health/family-hub	/health/family-hub	API_CANDIDATE_REVIEW
patient	patient-app/app/family/member-health.tsx	257	/family/chat	/family/chat	API_CANDIDATE_REVIEW
patient	patient-app/app/family/member-health.tsx	263	/family/voice-call	/family/voice-call	API_CANDIDATE_REVIEW
patient	patient-app/app/family/member-health.tsx	269	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/family/voice-call.tsx	68	/family/chat	/family/chat	API_CANDIDATE_REVIEW
patient	patient-app/app/health/actionable-order.tsx	52	/pharmacy	/pharmacy	API_CANDIDATE_REVIEW
