file	line	method	endpoint	source
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	61	GET	/radiology/services	apiFetch
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	62	GET	/providers?type=lab	apiFetch
patient-app/nabd_plus/app/(tabs)/health.tsx	103	GET	/health/vitals/summary	apiFetch
patient-app/nabd_plus/app/(tabs)/health.tsx	104	GET	/health/score	apiFetch
patient-app/nabd_plus/app/(tabs)/health.tsx	105	GET	/home/upcoming-appointment	apiFetch
patient-app/nabd_plus/app/(tabs)/health.tsx	113	GET	"/nutrition/daily-summary?date=${new Date().toISOString().split(""T"")[0]}"	apiFetch
patient-app/nabd_plus/app/(tabs)/index.tsx	81	GET	/home/offers	apiFetch
patient-app/nabd_plus/app/(tabs)/index.tsx	82	GET	/home/upcoming-appointment	apiFetch
patient-app/nabd_plus/app/(tabs)/index.tsx	83	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/(tabs)/nursing.tsx	45	GET	/home-care/services	apiFetch
patient-app/nabd_plus/app/(tabs)/nursing.tsx	52	GET	/home-care/packages	apiFetch
patient-app/nabd_plus/app/(tabs)/pharmacy.tsx	69	GET	/medicines/categories	apiFetch
patient-app/nabd_plus/app/_layout.tsx	60	POST	/auth/guest	apiFetch
patient-app/nabd_plus/app/ai/monthly-report.tsx	37	GET	/care/appointments	apiFetch
patient-app/nabd_plus/app/ai/monthly-report.tsx	38	GET	/health/vitals/summary	apiFetch
patient-app/nabd_plus/app/ai/monthly-report.tsx	39	GET	/health/chronic-meds	apiFetch
patient-app/nabd_plus/app/ai/monthly-report.tsx	40	GET	/health/trends	apiFetch
patient-app/nabd_plus/app/ai/symptom-timeline.tsx	52	GET	/ai/triage/history	apiFetch
patient-app/nabd_plus/app/articles/[slug].tsx	38	GET	/articles/${encodeURIComponent(String(slug))}	apiFetch
patient-app/nabd_plus/app/articles/[slug].tsx	42	POST	/articles?category=${encodeURIComponent(res.category)}&limit=4	apiFetch
patient-app/nabd_plus/app/articles/[slug].tsx	46	POST	/articles/bookmarks/${encodeURIComponent(String(slug))}/status	apiFetch
patient-app/nabd_plus/app/articles/[slug].tsx	59	POST	/articles/bookmarks/${encodeURIComponent(String(slug))}/toggle	apiFetch
patient-app/nabd_plus/app/articles/bookmarks.tsx	33	GET	/articles/bookmarks/mine	apiFetch
patient-app/nabd_plus/app/articles/index.tsx	48	GET	/articles?${params.toString()}	apiFetch
patient-app/nabd_plus/app/articles/index.tsx	58	GET	/articles/categories	apiFetch
patient-app/nabd_plus/app/community/hub.tsx	59	POST	/community/posts?page=1&limit=20${qs}	apiFetch
patient-app/nabd_plus/app/community/hub.tsx	74	POST	/community/posts	apiFetch
patient-app/nabd_plus/app/community/post-detail.tsx	53	PUT	/community/posts/${postId}	apiFetch
patient-app/nabd_plus/app/community/post-detail.tsx	68	PUT	/community/posts/${postId}/vote	apiFetch
patient-app/nabd_plus/app/community/post-detail.tsx	87	POST	/community/posts/${postId}/comment	apiFetch
patient-app/nabd_plus/app/consultations/appointment-detail.tsx	184	POST	/patient/pay-copay	apiFetch
patient-app/nabd_plus/app/consultations/book/[id].tsx	73	GET	/care/doctors/${encodeURIComponent(String(id || ''))}	apiFetch
patient-app/nabd_plus/app/consultations/book/[id].tsx	105	GET	/care/doctors/${encodeURIComponent(doctor.id)}/slots?date=${days[dayOffset].iso}&service_type=${visitType}	apiFetch
patient-app/nabd_plus/app/consultations/booking-confirm.tsx	45	GET	/insurance/companies	apiFetch
patient-app/nabd_plus/app/consultations/booking-confirm.tsx	55	GET	/insurance/companies/${insCompany}/networks	apiFetch
patient-app/nabd_plus/app/consultations/booking-pending.tsx	108	PATCH	/care/appointments/${appointmentId}/cancel	apiFetch
patient-app/nabd_plus/app/consultations/call-history.tsx	48	GET	/calls/history?page=${pageNum}&limit=20	apiFetch
patient-app/nabd_plus/app/consultations/cancel-reschedule.tsx	105	PATCH	/care/appointments/${appointmentId}/cancel	apiFetch
patient-app/nabd_plus/app/consultations/cancel-reschedule.tsx	118	PATCH	/care/appointments/${appointmentId}/reschedule	apiFetch
patient-app/nabd_plus/app/consultations/chat-with-doctor.tsx	41	POST	/care/doctors/${doctorId}	apiFetch
patient-app/nabd_plus/app/consultations/chat-with-doctor.tsx	51	POST	/chat/threads/direct	apiFetch
patient-app/nabd_plus/app/consultations/chat-with-doctor.tsx	58	GET	/chat/threads/${tid}/messages	apiFetch
patient-app/nabd_plus/app/consultations/chat-with-doctor.tsx	125	POST	/chat/threads/${threadId}/messages	apiFetch
patient-app/nabd_plus/app/consultations/clinic-location.tsx	24	GET	/care/appointments/${appointmentId}	apiFetch
patient-app/nabd_plus/app/consultations/doctor-search.tsx	44	GET	/care/doctors?${qs.toString()}	apiFetch
patient-app/nabd_plus/app/consultations/doctor/[id].tsx	51	GET	/care/doctors/${encodeURIComponent(id || 'd1')}	apiFetch
patient-app/nabd_plus/app/consultations/doctor/[id].tsx	149	GET	/care/doctors/${encodeURIComponent(doc.id)}/slots?date=${iso}&service_type=${vt}	apiFetch
patient-app/nabd_plus/app/consultations/follow-up.tsx	41	GET	/care/appointments/${encodeURIComponent(appointmentId)}	apiFetch
patient-app/nabd_plus/app/consultations/follow-up.tsx	49	GET	/care/doctors/${encodeURIComponent(a.doctor_id)}	apiFetch
patient-app/nabd_plus/app/consultations/home-visit-tracking.tsx	23	GET	/care/appointments/${appointmentId}	apiFetch
patient-app/nabd_plus/app/consultations/incoming-call.tsx	64	POST	/calls/${sessionId}/reject	apiFetch
patient-app/nabd_plus/app/consultations/post-call-rating.tsx	41	POST	/patient-ux/review	apiFetch
patient-app/nabd_plus/app/consultations/prescription-from-doctor.tsx	39	GET	/prescriptions/active	apiFetch
patient-app/nabd_plus/app/consultations/share-report.tsx	53	GET	/medical-reports/mine?limit=100	apiFetch
patient-app/nabd_plus/app/consultations/specialty-select.tsx	28	GET	/care/specialties	apiFetch
patient-app/nabd_plus/app/consultations/video-call.tsx	59	POST	/calls/initiate	apiFetch
patient-app/nabd_plus/app/consultations/video-call.tsx	66	POST	/calls/${sessionId}/join	apiFetch
patient-app/nabd_plus/app/consultations/virtual-waiting-room.tsx	47	GET	/care/appointments/${appointmentId}	apiFetch
patient-app/nabd_plus/app/consultations/waiting-room.tsx	31	GET	/care/appointments/${appointmentId}	apiFetch
patient-app/nabd_plus/app/delivery/address-select.tsx	36	GET	/users/me/addresses	apiFetch
patient-app/nabd_plus/app/diagnostics/booking-confirm.tsx	84	POST	/cart/clear	apiFetch
patient-app/nabd_plus/app/diagnostics/booking-confirm.tsx	89	POST	/cart/clear	apiFetch
patient-app/nabd_plus/app/diagnostics/cart.tsx	30	GET	/labs/compatible-providers?testIds=${ids}	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-approval.tsx	37	GET	/orders/${orderId}	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-approval.tsx	78	PATCH	/orders/${orderId}/items/${item.id}/opt-in-cash	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-upload.tsx	46	GET	/providers?type=lab	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-upload.tsx	55	GET	/insurance/companies	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-upload.tsx	109	POST	/ai/ocr-translate	apiFetch
patient-app/nabd_plus/app/diagnostics/insurance-upload.tsx	334	POST	/orders/create	apiFetch
patient-app/nabd_plus/app/diagnostics/lab-comparison.tsx	34	GET	/labs/services/${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/lab-comparison.tsx	35	GET	/labs/compatible-providers?testIds=${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/lab/[id].tsx	28	GET	/providers/${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/lab/[id].tsx	29	GET	/labs/services?providerId=${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/order/[id].tsx	29	GET	/orders/mine	apiFetch
patient-app/nabd_plus/app/diagnostics/order/[id].tsx	35	GET	/radiology/bookings/${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/order/[id].tsx	40	POST	/labs/bookings/${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/orders.tsx	31	GET	/labs/bookings/mine	apiFetch
