component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/(tabs)/nursing.tsx	55	/home-care/packages	/home-care/packages	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	72	/medicines/categories	/medicines/categories	MATCHED_ROUTE	GET /medicines/categories (backend/src/modules/medicines/medicines.controller.ts:36)|GET /medicines/:id (backend/src/modules/medicines/medicines.controller.ts:54)|PATCH /medicines/:id (backend/src/modules/medicines/medicines.controller.ts:106)
patient	patient-app/app/(tabs)/pharmacy.tsx	225	/pharmacy/barcode-scanner	/pharmacy/barcode-scanner	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	237	/pharmacy/filters	/pharmacy/filters	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	254	/pharmacy/scan-prescription	/pharmacy/scan-prescription	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	278	/pharmacy/order-history	/pharmacy/order-history	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	351	/pharmacy/manual-order	/pharmacy/manual-order	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	364	/pharmacy/product-detail	/pharmacy/product-detail	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/pharmacy.tsx	451	/pharmacy/cart	/pharmacy/cart	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai-assistant.tsx	146	/ai/prescription-translator	/ai/prescription-translator	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/chat-doctor.tsx	83	/ai/triage/chat	/ai/triage/chat	MATCHED_ROUTE	POST /ai/triage/chat (backend/src/modules/ai/ai.controller.ts:58)
patient	patient-app/app/ai/chat-doctor.tsx	112	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/skin-analysis.tsx	95	/ai/skin-analysis	/ai/skin-analysis	MATCHED_ROUTE	POST /ai/skin-analysis (backend/src/modules/ai/ai.controller.ts:69)
patient	patient-app/app/ai/skin-analysis.tsx	226	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/symptom-checker.tsx	235	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/symptom-checker.tsx	322	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/symptom-checker.tsx	340	/ai/symptom-timeline	/ai/symptom-timeline	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/ai/triage.tsx	61	/ai/triage/chat	/ai/triage/chat	MATCHED_ROUTE	POST /ai/triage/chat (backend/src/modules/ai/ai.controller.ts:58)
patient	patient-app/app/ai/triage.tsx	171	/emergency	/emergency	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/community/hub.tsx	39	/community/posts?page=1&limit=20	/community/posts	MATCHED_ROUTE	GET /community/posts (backend/src/modules/community/community.controller.ts:16)|POST /community/posts (backend/src/modules/community/community.controller.ts:26)
patient	patient-app/app/community/live-session.tsx	31	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointment-detail.tsx	83	/consultations/doctor/[id]	/consultations/doctor/[id]	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointment-detail.tsx	153	/patient/pay-copay	/patient/pay-copay	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointment-detail.tsx	166	/consultations/cancel-reschedule	/consultations/cancel-reschedule	UNMATCHED_ROUTE_REVIEW	
