POST /api/v1/insurance/nphies/eligibility | InsuranceController_nphiesEligibility_v1 | body= False | responses= 201
POST /api/v1/insurance/save-policy | InsuranceFlowController_savePolicy_v1 | body= False | responses= 201
POST /api/v1/insurance/claims/submit | InsuranceController_submitClaim_v1 | body= False | responses= 201
GET /api/v1/insurance/claims | InsuranceController_getClaims_v1 | body= False | responses= 200
POST /api/v1/labs/samples/barcode-verify | NabdExtensionsController_verifyBarcode_v1 | body= False | responses= 201
POST /api/v1/labs/results/verify | NabdExtensionsController_verifyLabResults_v1 | body= False | responses= 201
GET /api/v1/insurance/my-policy | InsuranceFlowController_myPolicy_v1 | body= False | responses= 200
GET /api/v1/insurance/benefits-summary | InsuranceFlowController_benefits_v1 | body= False | responses= 200
POST /api/v1/insurance/requests | InsuranceFlowController_createRequest_v1 | body= False | responses= 201
GET /api/v1/insurance/requests/my | InsuranceFlowController_myRequests_v1 | body= False | responses= 200
GET /api/v1/insurance/requests/{id} | InsuranceFlowController_one_v1 | body= False | responses= 200
POST /api/v1/insurance/requests/{id}/pay-copay | InsuranceFlowController_payCopay_v1 | body= False | responses= 201
POST /api/v1/insurance/requests/{id}/cancel | InsuranceFlowController_cancel_v1 | body= False | responses= 201
POST /api/v1/insurance/requests/{id}/resubmit | InsuranceFlowController_resubmit_v1 | body= False | responses= 201
POST /api/v1/insurance/requests/{id}/appeal | InsuranceFlowController_appeal_v1 | body= False | responses= 201
POST /api/v1/insurance/requests/{id}/decide | InsuranceFlowController_decide_v1 | body= False | responses= 201
POST /api/v1/insurance/payment-confirm | InsuranceFlowController_paymentConfirm_v1 | body= False | responses= 201
GET /api/v1/insurance/claims/my | InsuranceFlowController_claimsMy_v1 | body= False | responses= 200
POST /api/v1/patient/pay-copay | InsuranceAliasController_payCopay_v1 | body= False | responses= 201
POST /api/v1/home-care/insurance/verify | InsuranceAliasController_verify_v1 | body= False | responses= 201
GET /api/v1/health/medications | HealthMedsController_list_v1 | body= False | responses= 200
POST /api/v1/health/medications | HealthMedsController_add_v1 | body= False | responses= 201
POST /api/v1/insurance/claims/{id}/approve | AdminInsuranceClaimsController_approve_v1 | body= False | responses= 201
POST /api/v1/insurance/claims/{id}/reject | AdminInsuranceClaimsController_reject_v1 | body= False | responses= 201
