consumer	file	line	method	path	backend_match	classification
patient	patient-app/app/(auth)/welcome.tsx	22	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	24	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	32	UNKNOWN	/auth/guest	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	35	UNKNOWN	/(tabs	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	48	UNKNOWN	/(tabs	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	49	UNKNOWN	/(auth	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	50	UNKNOWN	/(auth	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	104	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	112	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	122	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	127	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	152	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	160	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	168	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/welcome.tsx	185	UNKNOWN	/(auth	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
