path	bytes	no_go	security	payment_insurance	runtime_external	data_mock	performance
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-returns-new-request.md	1801	0	4	6	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-programs-active.md	1734	0	1	2	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-reviews.md	1549	0	2	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-room-video.md	1943	0	1	0	7	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-services-hub.md	1620	0	1	3	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-search.md	1694	0	1	1	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-support-chat.md	846	0	2	1	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-help-center.md	1373	0	1	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-health-passport.md	1644	0	2	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-medical-timeline.md	1348	0	2	0	0	0	5
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-network-providers.md	1486	0	3	4	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-policy-detail.md	1420	0	1	4	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-refund-status.md	1257	0	1	9	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-submit-claim.md	1495	0	2	5	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-payment-split.md	1710	0	2	23	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-hub.md	2363	0	1	6	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-benefits-summary.md	1539	0	2	4	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-nursing-live-tracking.md	1645	0	1	0	4	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-index.md	485	0	1	5	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-nursing-nurse-profile.md	2334	0	3	11	0	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-nursing-service-info.md	1593	0	2	6	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-barcode-scanner.md	2036	0	2	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-product-detail.md	2854	0	3	0	1	0	7
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-drug-not-found.md	1671	0	2	0	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-cart.md	1787	0	1	2	2	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-chat.md	2280	0	3	1	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacist-chat.md	2145	0	4	2	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-order-tracking.md	2175	0	1	2	9	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-waiting.md	2090	0	3	3	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-product-search.md	1088	0	0	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-barcode.md	1807	0	2	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-manual-order.md	1526	0	1	0	0	2	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-rx-order.md	1798	0	4	4	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-scan-prescription.md	2162	0	2	0	0	1	4
